,isHate,comment
0,0,cars cars cars cars
1,0,if they hide in the engine they would get killedthat is a stupid way they can smuggle into another country
2,0,build that wall deport them all
3,0,jon snow  the king in the north thank you for uploading this i have one small complaint he is only talking about deporting illegal immigrants not immigrants in general your title might mislead the less informed
4,0,stopping illegal immigration should have been done years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now  million illegals in america and soon it will become the united states of mexicobr br now im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster
5,0,only people to come in must be able to contribute to society not a drain on us must be able to support themselves with a trade we do not need people living off the rest of us
6,1,it bothers me when people say deportimg illegal immigrants will take all the workforce off the farms  completley false after he deports the wetbacks then he will get rid of foodstamps and then the niggers will go back to working on the farm like they used to do
7,0,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged
8,0,during war discrimination is a military necessity when korematsus case reached the supreme court in october  the attorneys for the government pointed to the constitutional war powers of congress and the president the government argued that the military must take all steps necessary to wage war successfully in the view of president roosevelt the war department and general dewitt the internment of all japanese issei and nisei was a military necessity and assuming we were at war with isis then rounding up isis would not be racist on december   the supreme court decided  to uphold the conviction of korematsu the majority ruled only on his refusal to leave a prohibited military area and did not consider the constitutionality of the relocation camps justice hugo black writing for the majority fully accepted the views of general dewitt justice black also said that korematsu had not been forced from his home because of his race but because of the military urgency of the situation url  url 
9,0,ive been trying to figure out which common american voter is more uniformed republican or democrat for years democrats do any of you have the slightest clue that obama has deported more mexicans than any other president in history
10,0,take your issues shine it up turn it sideways and stick it straight up your money asses
11,0,he knows what hes doing he has a good heart he only wants the criminal illegal out not hard working families it appears that he will make sure they start the process to become citizens and not take united states as a joke
12,0,trump likes imigrants he does not like criminals take advantage of the us safe citys were they can just keep being criminals and not get in trouble
13,0,im all for more migrants from already developed countries so we get civilized people we dont anymore wild rd world migrants who burn down towns and cause crime and are low skilled eternally impoverished people we can certainly help rd world countries with donations and charity but we dont need to import their societies here
14,0,nice title i think you left out the word illegal
15,0,poor sound quality
16,0,translation were gonna deport the bad ones first then the good oneslater
17,0,its politic some of things he said he wont do it
18,0,i hate him
19,0,i dont hate trump anymore why because he fooled me and many others how senators would spend an arm probably both legs to get votes trump on the other hand used social media fb ig tw etc and few million dollars and won now hearing him now made sense for me he said what he had to say to win who wouldnt agree to deport the illegals that are doing bad im just glad he said the ones that have contribute to america would get chance to be legal heck yeah thanks trump i aint mad at cha anymore
20,1,no trump we want you to deport all illegal immigrants when i say all i mean all period
21,0,good job sweden more plz
22,0,good video
23,1,greeks do not want muslims greeks have been fighting islam for centuries greece i believe wont allow mosques to be built
24,0,this wont last for long
25,0,theres hope for europe yet
26,1,send these fucktards to canada our government accepts anybody regardles of theopinion of the working man who worked here all his life
27,0,they only looking for oil reserve not imigrant
28,0,about time is it not
29,0,excellent video thanks anthony brian
30,1,islam is a cancer get rid of it muhammad is a cross dressing pedophile
31,0,im one of the people that will truly give this man a chance but everyone here must be careful about this policy you can send all illegals back to where ever but just remember that black people will not be going back to your farmsplantations looking after your kids clean your houses falling in line with jim crow laws allowing are fellows men to be beaten shining your shoes and working for little or nothing slavery will not be making a come back last time white supremacy was fucking everything up you got the mlk attitude from black people you can best believe that if he starts fucking up you will get the malcolm x attitude this time by any means necessary
32,0,i live in sweden and have felt big effects in the society and specielly in the schoolsalot of the migrants in mu school have been trying to get sexual contact with kind who are  years younger its fucked up
33,0,thank god i agree hillary and obama wanted to bring more of these people just bc their rich ass have protection they dont have to live amongst them
34,0,they want to live as normal ppls in their own motherland but you western peoples bom their country to the stoneage where else they want to go
35,0,this is horrible absolutely horrible
36,0,thanks for sharing anthony well done why doesnt our media talk more about this does anyone really trust our media i dont lol
37,1,islam is not feminist nor is it a religion its a cult based on violence and terrorism apon others
38,1,muslims are parasites and vermin they need to be exterminated
39,0,this is so good to hear an american say this alot of you lot dont get this situation a big fat thank you my friend
40,1,very good a beautiful ghift  swedish take back your sweden she belongs to you dear friends refugees out from europe
41,0,good for you sweden about fucking time
42,0,poor old man what did he do to deserve this whoever votes to take them in should lead by example and take them home
43,0,where are the mafiosos im sure they would love to use the jungle apes as targets
44,1,looks like the nazis before this is an invasion and the autoritys r collaborrating i woold blow up the place with everyone in if id been brought down like this i woold take anyone with me
45,0,this makes my blood boil
46,1,he should send a bill to the police department for the cost of damages  you know they shit on floor and left a big mess
47,1,get out of the eu italy vote to get the fuck out the eu is destroying your country are there no private property laws for italians who own property in italy can the italian govt just come in and take your private property and use it to house illegal immigrants this is all caused by italy membership in the eu vote to leave eu you are living in an insane asylum wake up
48,0,medical is free in italy
49,1,this was the most disgusting thing i have ever seen to come into a mans hotel like that and just take over is disgusting and to allow scum like those refugees to walk in eww go home u scum
50,0,if this is real would take up arms against the govt cheers from new zealand
51,1,proof that the government sucks these peoples dicks and give them anything they want i guarantee whats next theyll allow them to rape there daughters and after that the people of italy will be force to switch to islam or pay high consequences government will force this heed my words leave now 
52,0,he signed a contract with a backward government to house third world refugees what did he think he was going to get disabled european war veterans
53,0,if diversity is so great why is it being forced down the throat of this italian
54,0,not only the politicians are going into the wood chippers but also the police
55,1,bastards so you cant even own a property without the danger of government taking it
56,1,if they forced me to let them id let them in and make a big pot of welcome soup full of rat poison problem solved
57,0,whos the slave now luigi
58,1,we need to bring back fascism and concentration camps so that we can properly deal with this rat infestation
59,1,you has to kill all these globalists and politicians rise up with machete in hands and invade the eu and kill them all
60,0,this is how the mafia began the citizens got pushed too far and took matters into their own hands
61,0,pure example of a  goverment inside a goverment  poor man
62,0,yall need to chill the word alien isnt a racist term it may offend you but its not racist he probably used the alien in his video because he didnt want to keep saying immigrant all the time its like writing one of those research papers in school you have to go use a thesaurus to find better words for your other words so you dont repeat yourself over and over would you rather him use the word outsider or incomer on websites the term alien is the first synonym that pops up for immigrant because its already widely used but is still a good term that you dont say in a conversation note to all the people saying trump will fix this or build a wall that is not a good idea we dont need to piss off any more countries
63,0,im from venezuela and i want to be a canadian or american citezen be cose here in poor country our salary is  time lower then lower salary in canada for example is all about money i dont care what u think about imagrant i dont care what u religion is i want just work and get a car a house in my country i will spend  years to buy a car for example and those people who say why u dont stay and made u country a rich country nooooo idiot becasue your rich country made my country a poor country my dream is go to canada or usa and work i donk know driven a taxi why people is mad about imigrant because you are ass lazy thas why bye go immigrants the world has no borders
64,0,why do they even number these  when most are the same things ie dash trunk etc
65,0,damn daniel back at it again with the migration
66,0,hope donald trumo doesnt see this
67,0,bitch im proud to be mexican idc what anyone calls me
68,0,url   why are you showing rome italy talking about bali thats piazza di spagna via frattina is on the right
69,0,dude like every title is the same just like dont do titles when thats the case lol
70,0,why does this video keeps reminding me of donald trump
71,0,aliens thinks if aliens are real or not i thought aliens were fake oo does that make us aliens since americans are not allowed in some places
72,0,these are all the same how did they find them
73,0,aliens really mexicans are people too
74,0,subscribe to have a good day if you dont youll have  years of bad luck
75,0,aliens
76,0,hdidng in a trunk wowe thats currayyyyzeyyyy
77,0,the men all go to the length to get the military uniforms and everything but all have the same last name what the fuck
78,0,i was hoping for some crazy shit not all the places in a car you can hide
79,0,lmballso nice twist on the saaaaame ole sht hella times
80,0,they deserve it
81,0,what has this country come to  none of these people are accountable for their behaviour how can you attack someone like that when his family are there  i genuinely believe karma will catch up with these savage beasts 
82,1,these sandniggers need to die
83,1,animals
84,0,where is this
85,1,that stupid fat lady is in charge no wonder they got their country fucked
86,1,send the savages back home
87,0,this is why these people need to be deported they cant attack people for not supporting their views
88,1,he should have put some nigger brains on the pavement
89,1,he had a gun  why didnt he use it
90,0,wheres this
91,0,maybe we should give them sharia law impose it upon them ruthlessly as they want to do to us
92,0,support hillary clinton if you want this happen to you
93,0,teenage afghan immigrant is arrested in germany after the yearold daughter of a senior eu official was raped and murdered while out jogging maria ladenburger was found in a river in freiburg where she studied a single strand of hair was found and matched to the migrant suspect he was identified by a single strand of dyedblond hair at the scene according to police he has confessed and will go to court next year it has stoked anger against angela merkels opendoor immigration policy read more url  url  follow us mailonline on twitter  dailymail on facebook
94,1,the fat guy should have kept his rifle on him and as soon as one of those muslim scum bag terrorist steps into his property bang shoot that fucker in the head and say he was trespassing
95,0,the gun was a good idea i thought
96,1,fat white cunt
97,0,does someone say nazi scum at url   
98,1,they are not even muslims you fucking liar
99,1,support from bulgaria against muslim emigrants
100,0,cars cars cars cars
101,0,the read full transcript here link does not send me to a site with the full transcript
102,0,it wasnt the chief rabbi of israel it was a colonelrabbit and not in official capacity also he didnt say it directly he just implied that it might not be forbidden by the talmud not surprising since the source is  years old but zizek misses all the nuance for shock effect
103,0,agree with what hes said but what are the solutions to the problems hes pointed out migrants from different cultures wont place any legitimacy on progressive values if they are touted by western liberals the clear solution is to support a progressive version of islam  a change from within their own communities  as opposed to the salafism that the west has indirectly advocated for in its support for dictatorships in opposition to arab nationalist democracy in the middle east inb anyone pulls the blaming the west for everything card we have to realise that blame goes in every direction and no direction  it lies as much probably a bit more in the policies of arab royalty as it does in western powerholders
104,1,their way of life there should be no emphasis on this phrase what so ever we abide to universal principles of human rights and law that is blind to the origins wealth race etc and is designed to follow universal principles of right and wrong these are not some western culture specialties these are mankind achievements following the path of logic and instilling justice wherever they are applied common justice not some special western justice i object against the term western culture it is common culture that western countries managed to apply best the second we make any compromise is the second we succumb to savages following primitive tribal law mixed with religion they want to live in our society they must abide to its principles fully the division is there not because we dont respect their inferior culture there should be no respect at all from our side we are not emigrating to their lands only mindless socialists can think that every savage from desert tent is culturally our equal but because they dont respect our culture the culture of the land they emigrated to any country following their notion of justice that is not floating on oil is a shithole
105,0,this guy has a serious problem to express himself in a clear and straightforward way he speaks a lot but most of the time without a meaning or objective to conclude his thoughts and it is not a problem of his accent or just a intrinsic characteristic of philosophy
106,0,im no expert on this topic but ive tried to learn some and i just have one question which is in europe havent all crimes been going up like rape theft and beatings and violence towards gays the middle east has a very different set of dos and donts and they should have to abandon their old ways if theyre to live in a place that doesnt have the same
107,0,good thinking slavoj thanks for yet another explanation
108,0,url    only the poor countries are invaded by them refugees i wonder if this was just a slip of the tongue
109,0,pure ideology
110,0,
111,0,well yes were living in an age of transgression things that were unacceptable are tolerated these days i believe it was plato who said the majority of people arent philosophical and so are operating off base appetites with the internet these appetites are more easily sated and so begins the downward spiral ie you get access to more food so you eat until youre full you need more food the next time to get full same goes with sexual fantasies traditional gets boring might go into kinks bondage furry ddlg diapers etc and other materialistic selfpleasuring things its not like this wasnt predicted the only question remains is that how to we fix these decays of values so that it doesnt further transgress societies
112,1,the west is going to be fucked up taking refugees from middle east they fucked their countries and are going to fuck your countries
113,0,to be fair saudi arabia has taken refugees though they have been very selective and the idf rabbi who said that rape was noncriminal during war did clarify that he meant it was something had historically taken place not something that was acceptable
114,0,the second anyone tries to use guilt to agree to something youre uncomfortable with for example letting a million refugees into your country then you should understand youre being emotionally manipulated this communist speaks in favor of refugees for all white eastern european countries except his own
115,0,but you still ignored question why are they comming and another one why are they mostly male in military age or maybe you did answer by saying muslim fundamentalism anyways great talk as always thank you guys
116,0,why does he always have a cold
117,0,yeah   but wait   this conspiracy theory is concrete  i wouldnt even say it needs conspiracy or theory  it seems like a reasonable and accurate description of what is actually going on with the one caveat that soros is the moneyman  it could be others like him or just him or him plus some other people how is soros funding blm humanitarian i see it as a way to use black americans as tools to corruptundermine american democracy a nearly perfect mirror of what is happening in europe you cannot tell me that if you know the definition of hijrah  that this immigration cannot be weaponized  and not violently even through attrition and politicaleconomic war  first muslim mayor of london  completely bankrupt nations within the eu etc no  the terrorists and the jew do not even have to be in direct communication much less collusion  the jew can use the muslim as a useful idiot in the same way the muslims themselves use each other as useful idiots with the suicide bomber the second blackmail is the condition of potentiality for the first if their were no bleeding heart liberals there would be no right wing response to muslim immigration because it was the liberals that allowed the muslims to come with merkel actively inviting them with almost no oversight or strings attached furthermore the liberals tend to be better educated and more wealthy than the conservatives  which to me means the liberals have had more timeexposure to the ideology of the frankfurt school and the resulting philosophical position of cultural marxism which is all created by mostly jews with the explicitly stated goal of trying again in a different way what had failed in ussr  namely the leveling of all people based on economic differences all people are economically speaking exactly equal this failed  so the frankfurt school thinkers jews went to california and came up with the idea of cultural marxism in which all cultures are to be perceived as equal  meaning that some brazilian rain forest tribes culture is equal to that of japanese culture  and the final point  because the idea of race is a creation of culture  and since all cultures are the same  presto all races are equal but these are all lies of course because races create cultures cultures do not create races  and obviously some cultures are superior to other and by implication some races are better than others this concept is social darwinism and it was the majority belief in the second reich leading into ww at the time that revolutions in russian were establishing the what would become failed system of mankind being economically made equal hundreds of thousands ha try several million what about somalis and sudanese and eritreans then  when was the last western intervention there yeah but the thing is  all these big countries fucking the local farmer in the middle east are also fucking the small farmer in their own countries yes but wasnt this situation in congo almost exactly the same situation which the portuguese slavetraders found in africa so long ago did not local african warlords pick the portuguese side and capture other tribes as slaves to sell to the portuguese  has the situation changed that much the potential of this situation would have existed if the portuguese had never sailed to africa there are  million slaves in africa right now and saudi arabia is one of the earliest and currently practicing slavetrading nations in the world yet saudi arabia takes no refugees from either africa or middle east   how convenient   that must mean that europe is taking in saudiarabias share of the refugees   oh yes too israel is no haven for african or middle eastern refugees  if the israeli plot to send muslims on to europe then turning them down in israel makes perfect sense  nothing to see here keep moving north a huge chunk of middle east refugees is being held in turkey  million  and the eu writes checks to turkey in high amount and often in order to keep them there and also i wont get into it now  do you know how many un laws are by the time a somali immigrant sets foot on swedish soil yes there is arab fault too think of it this way   it would be as if on dday whatever the amount of englishus soldiers who took the beaches  twice that many german refugees crossed into england  deland that number would increase more and more as the allied forces enjoyed more and more success on the battlefield   except even worse   they are muslims   so much more difficult to assimilate also he is misusing the word arab   not only are there arabs there are also turks and persians iranians and among these the major groups there are dozens and dozens of subgroups both infighting and fighting each other they are the only countries in the region who can afford to keep them out  it is precisely because they are wealthy that they have not taken refugees why does he not mention the fact that sweden is now the rape capitol of the world he leaves out the most violent situations   i think ultimately to shield the refugees from the damage they are doing to european culture   i think that it must be obvious that the muslims are having a much more deleterious effect on european culture than european culture is having on muslim culture talking about the veil shit when there was a report from germany about the father of a twelve year old german girl that was in a hotel room with  or so muslim men who were in the act of raping her again as the german police arrested him in the lobby of the hotel i dont remember what happened to the  muslim guys   but i do know they were not publicly hanged the girl is now sterile i do not rally care about an open public debate about this rape case among numerous others it is by default something not to be discussed  zizek even says the same thing about holocaust deniers   if you even allow them a place at the discussion table you have already lostdel  suchpeople things disqualify themselves automatically from being conversible  or  years how about the next election there are so many things these muslims have done that fit the bill of no discussion necessary  his idea of talking about it publicy painfully is already too late   the open public debate should have been the one between the european politicians and the european public as to whether this level of immigration was condoned by the majority in any given nation which has been so horribly impacted by the immigration policy about which they were not able to participate in an open public discussion after that debate never happened any subsequent ones are only farces of democratic decision the liberals created a problem that only they can solve or at least that is what they will say next election time if ww was imperialism turned back at europe and ww was a vengeful addressing of grievances created by the west treating defeated germany as a pseudoimperialist territory then isnt also true that womens rights gay rights etc identity politics will one day in the west start deteriorating also as it becomes apparent that the west is engaged in a neocolonial enterprise with its own citizens isnt neocolonialism the economic exploitation of all potential workers globally  and isnt a nations own people to be lumped into the global  does the government of a people in late capitalism not also neocolonize them as well  at least eventually destroying local ways of life isnt that the fundamental reason trump won by recognizing the destruction of local ways of life in america due to globalismlate capitalism neocolonialism
118,0,you cant have a secular liberal society if you let in a bunch of religious authoritarians either the new comers will destroy everything or your society will lose its identity fighting them
119,0,ideology doesnt even have to be part of the discussion the sheer number of illegal immigrants entering europe imposes such a high cost on the european people that it is impractical to provide them with an adequate standard of living or for european governments to continue providing for their citizens
120,1,fuck every single muslim good or bad
121,1,i like dead refugees on my shore
122,0,your videos are good m but this one is poorly done
123,0,a muslim continent is neither new nor reason to be afraid whoa hold your horses there educational video trying to persuade me with throw away statements that are clearly not true
124,0,we need to ban religon and we can start with the most hated
125,0,and then there was the paris attacks and bastille day
126,0,everything you said would only work in a perfect world alas the world is far from perfect turkey was a safe and beautiful nation that was known for tourism  years ago it took in  million refugees and now there is an attack every other month look at the crime rates in sweden and germany before speaking
127,0,this comment section is scary
128,0,or we can destroy isis and take the oil
129,0,you do realise that most of refugees come from turkey
130,0,i love when ignorant europeans love to cite the fact that the majority of the refugees are not from syria as though this is some kind of fallacy in the argument for letting them come in the economies of a lot of north africanother middle east states are shit and many of these people are simply economic refugees that part of the world is experiencing environmental stessors that are causing droughts which damage the lands carrying capacity and this obviously also affects the economy all of this contributes to the people there wanting to move to literally greener pastures the history of the world is nothing but people migrating through time modern europe went through so much demographic shifts over the centuries this is nothing new the huns apparently originated somewhere in or around mongolia and began their westward trek after being oppressed by a rival ethnic group that came to power and so they decided to migrate thousands of miles to the west undoubtedly i am sure their ethnic makeup changed during this travel as they picked up some and lost others before reaching europe but still modern europe usa and the world has been nothing but a melting pot of people on the move forever this xenophobia thing is an interesting illusion however i will defend that us vs them mentality when there is a legitimate aggressor and oppresseei guess that is how one would state that for example the inca revolt against the conquistadors on another note well that is enough for now i could ramble on for hours on the nature of group identities in a world of shifting populations ill write up a paper fleshing out my thoughts on the whole subject someday all sides and viewpoints need to have their feet up to the fire so to speak
131,0,i dont agree with tbe sentiment that all human life is worth the same humans within your own nation should come first for example i absolutely hate how much we donate to othe countries when there are starving children right here in our neighborhoods it sounds heartless and frankly it is but we must do everything to strengthen and preserve what others in our nation have lived and died for before we dedicate resources and time to those whom we have no ties to
132,0,the fact of it is only a very tiny portion of the refugeees are from syria
133,0,biased as fuck
134,0,at moments like this where i know that wishful thinking is useless i wish i was a president of a country with economy strong enough to help outalso i am the last person to be a president considering my psychological state and other stuff but yeahi feel so helpless right now 
135,0,in reality it is way more complicated than stated in the video we know how kurgesagt makes that idea of we should strive for better thing is words dont make actions and you have forgotten how corrupted some of these countries are and mostly bulgaria as a border country so take that into consideration
136,0,when will humanity stop being so dumb and unificate theres only good things coming out of this if europe accepts the refugees not only what he said on the video but this would actually rise the diversiveness of cultures and inspire respect between them differently of the old people who usually supports people like trump or some random  year olds who just dont know any better
137,1,im all for helping ppl but lets not build mosques we have enough problems with our religious nuts we dont need more
138,0,i live in turkey and turkey has  billion refugees and they are stayed at parks and they are not work and one syrian family has  member but they need help but turkey is helpfull country i love my country
139,0,i am jordanian and my countrys population has gone up  due to refugee influx to me it is sickening to see such countries refuse to host the refugees it is inhuman and cruel to see that animal and pets and taken care of and given a shelter and kept warm fed while there are humans freezing and starving to death what has this world become
140,1,islam is the deadliest parasite on humanity
141,1,oh yes merkel letting a hoard of th century backward savages into germany to mix with one the most civilized advanced peoples in the world that is definetly going to work
142,0,i will not let them into my countrypoor germanshow they accepted 
143,0,weak europeans are doing it to themselves and then they ll ask us to save them again just like in ww
144,0,if these refugees come to china they wont survive
145,1,kick those bastards out and never to return cast out the islam
146,1,germany you can just hire  farmers from like north carolina and give them shotguns and the refugees will be on their way home within a week
147,0,german women need to carry guns like us american women
148,1,to speak the truth is never racism no matter what anyone say stand up for the truth own country own people and kick the garbage muslimnegro male out now media and muslims are coward filthy super ugly liars and traitor
149,1,fuck muslims
150,0,goodness gracious im from the middle east and havent seen that many ruffians in my life wake up germany you need to fix this
151,0,look how they are dressed theyre not bum clothes theyre wearing
152,1,dumb ass liberals look at these refugees like they are their pets
153,1,if he didnt have that gun he would have been killed with that shovel yet he doesnt shoot the scum so they can kill the next white person they find rip france
154,1,come on you cowardly frenchmen waste those motherfucker included gypsies and your motherland will be peaceful again fuck those hypocritical liberalists they are the spies of evils and crimes whose let those pests get into to your great country
155,1,he shoulda shot every single one of them
156,1,muslim dumb ass
157,1,kill that shit head
158,0,still the frenchie ran awaylike always
159,1,that guy still would of lost with the gun if he got bum rushed
160,0,fake title those are french gang against the police way before the immigrants wave idiot 
161,1,kill these parasites please
162,1,this peoples are filty pigs islamics go home
163,0,your president should be booted out of office immediately
164,0,sponsored by auping hahahahahahaa
165,0,looks like the movie set of an apocalypse zombie movie fake shit and piss are too expensive well use the real stuff so sad
166,1,jew world order and filthy third world muslims
167,0,this video was already debunked it is supposedly the aftermath of some festival
168,0,they are turnin it into the middleeast and africa
169,0,let them clean up after themself
170,1,and this is why europe is getting more right winged with the years we are tired of it enough is enough there will come a time that these raping basterds will be afraid
171,1,if they set foot in nireland they wont know what hit them we will join together and throw them into the irish sea fuck them all send them to scummy saudi arabia where they belong
172,1,so a desire to maintain its cultural integrity is considered fachist give me a break islam is not a peaceful religion and its taking over the world we should all be frightened of the consequences of welcoming these hoodlums of course they want to come and take advantage of the handouts help the children by making peaceful assimilation mandatory if they dont want to adopt the native culture then they should go to a predominately islamic region that accepts those ideals ironically those are some of the most violent and unstable go figure
173,1,why are the libtards all boot fugly the immigrants wouldnt look at them let alone rape them ughhh
174,1,refugee welcome them who support the parti have all faces ugly and old
175,0,the read full transcript here link does not send me to a site with the full transcript
176,1,i like dead refugees on my shore
177,0,your videos are good m but this one is poorly done
178,0,they should have put trump on here
179,0,the rude comments that some of these celebrities said about the lgbt community are unnecessary but not everyone has to support gay rights no offense i have nothing against the lgbt community but everyone has their own opinion everybody is so sensitive nowadays
180,0,but caitlyn was a man so how is trans traditional no diss to trans i fucking love ya all who are trans ya all are beautiful xxx
181,0,ummm hillary clinton was antigay marriage too typical libtards
182,1,gays are dumb
183,1,gays suck
184,0,hairess pls learn to pronounce words
185,1,gay people should not have rights
186,0,trump has his own hatefull ideology against the lgbt citizens 
187,1,all i know is the lgbt are human but i hope to god he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen
188,0,so many people forget we are americans first
189,0,i am proud of being a republican thiel 
190,1,gay republicans are fucking morons
191,0,trump has been for gay peoples rights since the s he was allowed to have that opinion because he wasnt a politician whereas clinton only started accepting lgbt like for the past  years when it was politically relevant she is disgusting and doesnt believe in anything but herself
192,0,come on people it is not confusing why must you act like you have no sense there is such an easy distinction in who accepts homosexuals and who does not from a worldly view point homosexuality should be legal and accepted because there is no distinction from homosexuality being right or wrong when you look at it from a worldly view but at the same time looking at it from a worldly view there is no distinction of how others should love and accept everyone or accept what everyone else does and actually as you homosexuals and supporters of homosexuals rage on about how religion is the problem actually religion is the only distinction in this thing where religion lays out right and wrong in a worldly view everyone has their on view and opinions and if you say in a worldly view you should just accept homosexuals then you are still breaking in into forms of religion or maybe better said opinions if you think about it isnt that for the most part what makes up a religion a group or collection of opinions formed into a thought process a way that the religion determines what is right and what is wrong and then in i am just going to use christianity for now christianity does not support homosexuals not true believing christians and just like you are going to fight to say they are wrong they are going to fight to say you are wrong and actually when you condem a christians beliefs and say that they are the bad ones or they are wrong then you are doing exactly that condeming someone which is exactly what you insist they do not do here is the thing stop trying to force a religon to accept you it is not going to happen it does not work like that even if every human adopted your worldly values there would still be distinctions just like you have distinctions of your own for example who are you to tell an  year old that they are not allowed to drink alchol until they are  who are you to make all of these other laws that oppress a people if you really think about it you fight to say every person should be able to have their own opinion and be able to act on that opinion and then still insist on oppressing others because you have an opinion about how their lives should be lived well many people christian and worldly have an opinion about you and many think that it is disgusting for a man to put a dress on walk around trying to talk like a woman and then being sexually attracted to another man and acting on that attraction and like i said it is not just a religion think people actually think that it is nasty just like you form your opinions on what is right and wrong so it is and will be a battle of who believes most strongly in what
193,0,alright i fuck with trump a little bit
194,1,im glad mr trump hasnt anything against ass bandits who make this disgusting life choice my brother is a mincer and we are sending him to bible camp for conversation therapy to make him normal again
195,1,in america there are about ten million homogaylike people north korea want them all in its beautiful trenches of gulags first in line to north korea should be kim kardashian miley cyrus gaga britney spears and other whores
196,0,love is love 
197,0,whats wrong with humanlity  why do guys not love women  im a guy and love women  im proud of being a man and fuck women pussy 
198,0,gay rights fuck off that doesnt exist gays arent a separate species or race they have always had the right to marry its called marriage which meant if you look in a dictionary prior to  the bonding between man and women if they wanted to be bonded it should of been called something else heterosexual marriage is special symbolic and thousands of years old
199,0,who is making popcorn in the background
